waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

2430 frames  58.1 fps  44 Mbps  worst gap 331.3 ms  0 lost  pc 20.5 ms  console 10.6 ms   
2460 frames  58.1 fps  45 Mbps  worst gap 331.3 ms  0 lost  pc 20.5 ms  console 10.5 ms   
2490 frames  58.1 fps  46 Mbps  worst gap 331.3 ms  0 lost  pc 20.5 ms  console 10.5 ms   
2520 frames  58.1 fps  46 Mbps  worst gap 331.3 ms  0 lost  pc 20.6 ms  console 10.5 ms   
2550 frames  58.2 fps  47 Mbps  worst gap 331.3 ms  0 lost  pc 20.6 ms  console 10.5 ms   
2580 frames  58.2 fps  48 Mbps  worst gap 331.3 ms  0 lost  pc 20.6 ms  console 10.5 ms   
2610 frames  58.2 fps  48 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.6 ms   
2640 frames  58.2 fps  49 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.6 ms   
2670 frames  58.2 fps  50 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.6 ms   
2700 frames  58.3 fps  50 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.6 ms   
2730 frames  58.3 fps  51 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.6 ms   
2760 frames  58.3 fps  51 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.6 ms   
2790 frames  58.3 fps  51 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.6 ms   
2820 frames  58.3 fps  51 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
2850 frames  58.4 fps  51 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
2880 frames  58.4 fps  52 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
2910 frames  58.4 fps  52 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
2940 frames  58.4 fps  52 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
2970 frames  58.4 fps  52 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
3000 frames  58.4 fps  52 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
3030 frames  58.4 fps  53 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
3060 frames  58.5 fps  53 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
3090 frames  58.5 fps  53 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
3120 frames  58.5 fps  53 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.5 ms   
3150 frames  58.5 fps  53 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
3180 frames  58.5 fps  53 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
3210 frames  58.5 fps  53 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
3240 frames  58.5 fps  53 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
3270 frames  58.6 fps  54 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
3300 frames  58.6 fps  54 Mbps  worst gap 331.3 ms  0 lost  pc 20.7 ms  console 10.5 ms   
3330 frames  58.6 fps  54 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.5 ms   
3360 frames  58.6 fps  54 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.5 ms   
3390 frames  58.6 fps  55 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.5 ms   
3420 frames  58.6 fps  55 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.5 ms   
3450 frames  58.6 fps  55 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.5 ms   
3480 frames  58.6 fps  55 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.5 ms   
3510 frames  58.6 fps  55 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.5 ms   
3540 frames  58.6 fps  55 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.5 ms   
3570 frames  58.6 fps  55 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 10.5 ms   
3600 packets, 3600 frames shown/decoded, 0 not decoded, 0 lost (frame-number gaps), 425.9 MB, 58.7 fps, worst gap 331.3 ms, decode avg 0.33 ms
60 keyframes (IDR), 3540 other
PC latency (header arrival -> on screen): avg 20.8 ms, max 332.9 ms over 3599 frames
console latency (present -> header sent): avg 10.5 ms, max 313.2 ms
packets=3600 frames=3600 undecoded=0 lost=0
