=== viewer launch 1 at 23:07:03
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

2940 frames  57.7 fps  30 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.1 ms   
2970 frames  57.8 fps  30 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.0 ms   
3000 frames  57.8 fps  30 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.0 ms   
3030 frames  57.8 fps  31 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.0 ms   
3060 frames  57.8 fps  31 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.0 ms   
3090 frames  57.9 fps  31 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.0 ms   
3120 frames  57.9 fps  31 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 11.0 ms   
3150 frames  57.9 fps  31 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 10.9 ms   
3180 frames  57.9 fps  32 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 10.9 ms   
3210 frames  57.9 fps  32 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.9 ms   
3240 frames  57.9 fps  32 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.9 ms   
3270 frames  58.0 fps  32 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.9 ms   
3300 frames  58.0 fps  32 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 10.9 ms   
3330 frames  58.0 fps  32 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 10.8 ms   
3360 frames  58.0 fps  32 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 10.8 ms   
3390 frames  58.0 fps  33 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 10.8 ms   
3420 frames  58.1 fps  33 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 10.8 ms   
3450 frames  58.1 fps  33 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 10.8 ms   
3480 frames  58.1 fps  33 Mbps  worst gap 292.1 ms  0 lost  pc 20.0 ms  console 10.8 ms   
3510 frames  58.1 fps  34 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.8 ms   
3540 frames  58.1 fps  34 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.8 ms   
3570 frames  58.1 fps  34 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.8 ms   
3600 frames  58.1 fps  34 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.7 ms   
3630 frames  58.1 fps  34 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.7 ms   
3660 frames  58.1 fps  35 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.7 ms   
3690 frames  58.2 fps  35 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.7 ms   
3720 frames  58.2 fps  35 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.7 ms   
3750 frames  58.2 fps  35 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.7 ms   
3780 frames  58.2 fps  36 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.7 ms   
3810 frames  58.2 fps  36 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.7 ms   
3840 frames  58.2 fps  36 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.7 ms   
3870 frames  58.2 fps  36 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.6 ms   
3900 frames  58.3 fps  37 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.6 ms   
3930 frames  58.3 fps  37 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.6 ms   
3960 frames  58.3 fps  37 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.6 ms   
3990 frames  58.3 fps  38 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.6 ms   
4020 frames  58.3 fps  38 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.6 ms   
4050 frames  58.3 fps  38 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.6 ms   
4080 frames  58.3 fps  38 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.6 ms   
4110 frames  58.3 fps  38 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.6 ms   
4140 frames  58.4 fps  39 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.6 ms   
4170 frames  58.4 fps  39 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.6 ms   
4200 frames  58.4 fps  39 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.6 ms   
4230 frames  58.4 fps  39 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.6 ms   
4260 frames  58.4 fps  39 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.5 ms   
4290 frames  58.4 fps  39 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.5 ms   
4320 frames  58.4 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.5 ms   
4350 frames  58.4 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.5 ms   
4380 frames  58.4 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.5 ms   
4410 frames  58.5 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 10.5 ms   
4440 frames  58.5 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.5 ms   
4470 frames  58.5 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.5 ms   
4500 frames  58.5 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.5 ms   
4530 frames  58.5 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.5 ms   
4560 frames  58.5 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.5 ms   
4590 frames  58.5 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.5 ms   
4620 frames  58.5 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.5 ms   
4650 frames  58.5 fps  41 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.4 ms   
4680 frames  58.5 fps  41 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.4 ms   
4710 frames  58.5 fps  41 Mbps  worst gap 292.1 ms  0 lost  pc 20.1 ms  console 10.4 ms   
4740 frames  58.4 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.2 ms  console 11.2 ms   
4770 frames  58.0 fps  40 Mbps  worst gap 292.1 ms  0 lost  pc 20.3 ms  console 17.4 ms   
new stream session 2 (the console reattached)

4800 frames  49.7 fps  34 Mbps  worst gap 13748.0 ms  0 lost  pc 20.3 ms  console 18.0 ms   
4830 frames  49.8 fps  34 Mbps  worst gap 13748.0 ms  0 lost  pc 20.3 ms  console 17.9 ms   
4860 frames  49.8 fps  34 Mbps  worst gap 13748.0 ms  0 lost  pc 20.3 ms  console 17.9 ms   
4890 frames  49.9 fps  34 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.8 ms   
4920 frames  49.9 fps  34 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.8 ms   
4950 frames  50.0 fps  34 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.7 ms   
4980 frames  50.0 fps  33 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.7 ms   
5010 frames  50.1 fps  33 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.7 ms   
5040 frames  50.1 fps  33 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.6 ms   
