=== viewer launch 1 at 23:39:48
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

4680 frames  58.3 fps  38 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4710 frames  58.3 fps  38 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4740 frames  58.3 fps  38 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4770 frames  58.3 fps  39 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4800 frames  58.4 fps  39 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4830 frames  58.4 fps  39 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4860 frames  58.4 fps  39 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4890 frames  58.4 fps  39 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4920 frames  58.4 fps  39 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.3 ms   
4950 frames  58.4 fps  39 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.4 ms   
4980 frames  58.4 fps  40 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.4 ms   
5010 frames  58.4 fps  40 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.4 ms   
5040 frames  58.4 fps  40 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.4 ms   
5070 frames  58.4 fps  40 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.4 ms   
5100 frames  58.5 fps  40 Mbps  worst gap 279.9 ms  0 lost  pc 20.4 ms  console 18.4 ms   
5130 frames  58.5 fps  41 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.4 ms   
5160 frames  58.5 fps  41 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.4 ms   
5190 frames  58.5 fps  41 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.4 ms   
5220 frames  58.5 fps  41 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.4 ms   
5250 frames  58.5 fps  41 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.4 ms   
5280 frames  58.5 fps  42 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.4 ms   
5310 frames  58.5 fps  42 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.5 ms   
5340 frames  58.5 fps  42 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.5 ms   
5370 frames  58.5 fps  42 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.5 ms   
5400 frames  58.5 fps  43 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.5 ms   
5430 frames  58.5 fps  43 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.5 ms   
5460 frames  58.5 fps  43 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.6 ms   
5490 frames  58.6 fps  43 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.6 ms   
5520 frames  58.6 fps  44 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.6 ms   
5550 frames  58.6 fps  44 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.6 ms   
5580 frames  58.6 fps  44 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.6 ms   
5610 frames  58.6 fps  44 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.6 ms   
5640 frames  58.6 fps  44 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.6 ms   
