=== viewer launch 1 at 23:50:58
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

2790 frames  57.4 fps  27 Mbps  worst gap 232.3 ms  0 lost  pc 20.4 ms  console 16.8 ms   
2820 frames  57.4 fps  28 Mbps  worst gap 232.3 ms  0 lost  pc 20.4 ms  console 16.8 ms   
2850 frames  57.5 fps  28 Mbps  worst gap 232.3 ms  0 lost  pc 20.4 ms  console 16.8 ms   
2880 frames  57.5 fps  29 Mbps  worst gap 232.3 ms  0 lost  pc 20.4 ms  console 16.8 ms   
2910 frames  57.5 fps  29 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 16.8 ms   
2940 frames  57.5 fps  29 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 16.8 ms   
2970 frames  57.6 fps  30 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 16.8 ms   
3000 frames  57.6 fps  30 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 16.7 ms   
3030 frames  57.6 fps  30 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 16.7 ms   
3060 frames  57.6 fps  31 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 16.8 ms   
3090 frames  57.6 fps  31 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 16.8 ms   
3120 frames  57.7 fps  31 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 16.8 ms   
3150 frames  57.7 fps  31 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 16.9 ms   
3180 frames  57.7 fps  31 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 16.9 ms   
3210 frames  57.7 fps  31 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 16.9 ms   
3240 frames  57.7 fps  31 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 17.0 ms   
3270 frames  57.8 fps  32 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 17.0 ms   
3300 frames  57.8 fps  32 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 17.0 ms   
3330 frames  57.8 fps  32 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 17.1 ms   
3360 frames  57.8 fps  33 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 17.1 ms   
3390 frames  57.8 fps  33 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 17.1 ms   
3420 frames  57.9 fps  34 Mbps  worst gap 232.3 ms  0 lost  pc 20.5 ms  console 17.1 ms   
3450 frames  57.9 fps  34 Mbps  worst gap 232.3 ms  0 lost  pc 20.6 ms  console 17.2 ms   
3480 frames  57.9 fps  35 Mbps  worst gap 232.3 ms  0 lost  pc 20.6 ms  console 17.2 ms   
3510 frames  57.9 fps  35 Mbps  worst gap 232.3 ms  0 lost  pc 20.6 ms  console 17.2 ms   
3540 frames  57.9 fps  36 Mbps  worst gap 232.3 ms  0 lost  pc 20.6 ms  console 17.2 ms   
3570 frames  57.9 fps  36 Mbps  worst gap 232.3 ms  0 lost  pc 20.7 ms  console 17.2 ms   
3600 frames  57.9 fps  37 Mbps  worst gap 232.3 ms  0 lost  pc 20.7 ms  console 17.3 ms   
3630 frames  57.9 fps  38 Mbps  worst gap 232.3 ms  0 lost  pc 20.8 ms  console 17.3 ms   
3660 frames  57.9 fps  38 Mbps  worst gap 232.3 ms  0 lost  pc 20.8 ms  console 17.3 ms   
3690 frames  58.0 fps  39 Mbps  worst gap 232.3 ms  0 lost  pc 20.8 ms  console 17.3 ms   
3720 frames  58.0 fps  39 Mbps  worst gap 232.3 ms  0 lost  pc 20.8 ms  console 17.4 ms   
3750 frames  58.0 fps  40 Mbps  worst gap 232.3 ms  0 lost  pc 20.9 ms  console 17.4 ms   
3780 frames  58.0 fps  40 Mbps  worst gap 232.3 ms  0 lost  pc 20.9 ms  console 17.4 ms   
3810 frames  58.0 fps  41 Mbps  worst gap 232.3 ms  0 lost  pc 20.9 ms  console 17.4 ms   
3840 frames  58.0 fps  41 Mbps  worst gap 232.3 ms  0 lost  pc 20.9 ms  console 17.4 ms   
3870 frames  58.0 fps  42 Mbps  worst gap 232.3 ms  0 lost  pc 20.9 ms  console 17.4 ms   
3900 frames  58.1 fps  42 Mbps  worst gap 232.3 ms  0 lost  pc 21.0 ms  console 17.4 ms   
3930 frames  58.1 fps  42 Mbps  worst gap 232.3 ms  0 lost  pc 21.0 ms  console 17.4 ms   
3960 frames  58.1 fps  43 Mbps  worst gap 232.3 ms  0 lost  pc 21.0 ms  console 17.4 ms   
3990 frames  58.1 fps  43 Mbps  worst gap 232.3 ms  0 lost  pc 21.0 ms  console 17.4 ms   
4020 frames  58.1 fps  43 Mbps  worst gap 232.3 ms  0 lost  pc 21.0 ms  console 17.4 ms   
4050 frames  58.1 fps  43 Mbps  worst gap 232.3 ms  0 lost  pc 21.0 ms  console 17.4 ms   
4080 frames  58.1 fps  44 Mbps  worst gap 232.3 ms  0 lost  pc 21.0 ms  console 17.4 ms   
