=== viewer launch 1 at 23:27:21
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

2580 frames  57.6 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.7 ms   
2610 frames  57.6 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.6 ms   
2640 frames  57.6 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.6 ms   
2670 frames  57.7 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.6 ms   
2700 frames  57.7 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.6 ms   
2730 frames  57.7 fps  18 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.5 ms   
2760 frames  57.7 fps  18 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.5 ms   
2790 frames  57.8 fps  18 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.5 ms   
2820 frames  57.8 fps  18 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.5 ms   
2850 frames  57.8 fps  19 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.5 ms   
2880 frames  57.8 fps  19 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.4 ms   
2910 frames  57.8 fps  19 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.4 ms   
2940 frames  57.9 fps  19 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.4 ms   
2970 frames  57.9 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.4 ms   
3000 frames  57.9 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.4 ms   
3030 frames  57.9 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.4 ms   
3060 frames  57.9 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.3 ms   
3090 frames  58.0 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.3 ms   
3120 frames  58.0 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.3 ms   
